Region_Index,Region_Label,x0_QAgNO3(%),x1_Qpva(%),x2_Qtsc(%),x3_Qseed(%),x4_Qtot(uL/min)
0,0.10<x0<0.25 & 0.10<x3<0.25,0.0,0.0,0.0,0.0,0.0
1,0.10<x0<0.25 & 0.25<x3<0.36,28.965862,2.1815846,0.38051853,12.954913,0.9307859
2,0.10<x0<0.25 & 0.36<x3<0.42,230.91177,0.7466012,2.119044,91.44511,5.438282
3,0.10<x0<0.25 & 0.42<x3<0.90,12.340041,0.3583635,2.0692346,4.051613,0.34689778
4,0.25<x0<0.53 & 0.10<x3<0.25,21.985058,0.6308478,4.212589,33.566517,0.46628037
5,0.25<x0<0.53 & 0.25<x3<0.36,12.160528,0.58941317,0.3234467,6.509597,0.16346252
6,0.25<x0<0.53 & 0.36<x3<0.42,24.14215,0.23300157,0.8735086,23.266731,0.32149872
7,0.25<x0<0.53 & 0.42<x3<0.90,6.1067777,0.25967523,0.83121854,5.1528406,0.25953746
8,0.53<x0<0.90 & 0.10<x3<0.25,2.0985856,0.44453758,2.2324977,17.986477,0.5005642
9,0.53<x0<0.90 & 0.25<x3<0.36,2.3390312,0.6625507,2.9327228,9.592125,0.49669456
10,0.53<x0<0.90 & 0.36<x3<0.42,2.4562392,0.813805,5.343093,23.777906,1.822512
11,0.53<x0<0.90 & 0.42<x3<0.90,1.5477242,0.4804228,1.2188343,7.152862,0.44789445
