Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.004769292769325655,0.0013200779743774314
Pd_C301,0.002387076053162702,-8.443129517233416e-05
HX100,0.008731515022226272,-0.0003481065892133325
T_E110,0.027364787799264715,0.024080522228390536
L_R100,0.005540266029346388,0.005396561080025365
D_R100,0.013817088242059388,0.002447210672553689
F_S220,0.0034733639627003298,-0.000734340048594594
T_E120,0.004119348796433344,0.0007390517551145173
P_V100,0.014423701663918955,0.011487589826392103
Pd_P150,0.7109612186826415,0.452020221380159
HX150,0.2635054227178915,0.011439747415066962
HX220,0.0057945753844796805,0.005231230600133217
T_E220,0.0020785630541877626,-0.0014145586960585862
Rr_D200,0.020982804723217577,0.02350597480797899
Pc_D200,0.0010769977098323894,-0.0025785115459278263
F_S220.1,0.13664352172924502,0.03696821425376883
